country,merit,outcome,2017,2018,2019,2020,2021,2022,2023
Belgium,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Belgium,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Belgium,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Belgium,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Belgium,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Belgium,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Belgium,NA,pending,NA,NA,NA,NA,NA,NA,NA
Benin,NA,filed,NA,NA,NA,NA,NA,NA,NA
Benin,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Benin,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Benin,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Benin,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Benin,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Benin,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Benin,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Benin,NA,pending,NA,NA,NA,NA,NA,NA,NA
Bolivia,NA,filed,NA,NA,NA,NA,NA,NA,NA
Bolivia,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Bolivia,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Bolivia,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Bolivia,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Bolivia,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Bolivia,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Bolivia,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Bolivia,NA,pending,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,filed,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,pending,NA,NA,NA,NA,NA,NA,NA
Botswana,NA,filed,NA,NA,NA,NA,NA,NA,NA
Botswana,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Botswana,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Botswana,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Botswana,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Botswana,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Botswana,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Botswana,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
Botswana,NA,pending,NA,NA,NA,NA,NA,NA,NA
Brazil,NA,filed,23,34,33,41,29,49,34
Brazil,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Brazil,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Brazil,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Brazil,TRUE,merit_dismiss_confirm,NA,NA,25,26,38,26,NA
Brazil,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Brazil,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Brazil,NA,total_finalized,NA,23,33,34,53,44,39
Brazil,NA,pending,21,32,32,39,NA,20,NA
Bulgaria,NA,filed,NA,NA,NA,NA,NA,NA,NA
Bulgaria,FALSE,nonmerit_dismiss_jurisdiction,NA,NA,NA,NA,NA,NA,NA
Bulgaria,FALSE,nonmerit_dismiss_imperfect,NA,NA,NA,NA,NA,NA,NA
Bulgaria,FALSE,nonmerit_dismiss_other,NA,NA,NA,NA,NA,NA,NA
Bulgaria,TRUE,merit_dismiss_confirm,NA,NA,NA,NA,NA,NA,NA
Bulgaria,TRUE,merit_allow_referback,NA,NA,NA,NA,NA,NA,NA
Bulgaria,TRUE,merit_allow_substitute,NA,NA,NA,NA,NA,NA,NA
Bulgaria,NA,total_finalized,NA,NA,NA,NA,NA,NA,NA
