year,country,merit,outcome,count
2017,Chile,TRUE,merit_dismiss_confirm,NA
2017,Chile,TRUE,merit_allow_referback,NA
2017,Chile,TRUE,merit_allow_substitute,NA
2017,Chile,NA,total_finalized,NA
2017,Chile,NA,pending,NA
2017,China,NA,filed,457
2017,China,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,China,FALSE,nonmerit_dismiss_imperfect,NA
2017,China,FALSE,nonmerit_dismiss_other,NA
2017,China,TRUE,merit_dismiss_confirm,219
2017,China,TRUE,merit_allow_referback,52
2017,China,TRUE,merit_allow_substitute,NA
2017,China,NA,total_finalized,319
2017,China,NA,pending,289
2017,Colombia,NA,filed,100
2017,Colombia,FALSE,nonmerit_dismiss_jurisdiction,49
2017,Colombia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Colombia,FALSE,nonmerit_dismiss_other,NA
2017,Colombia,TRUE,merit_dismiss_confirm,20
2017,Colombia,TRUE,merit_allow_referback,NA
2017,Colombia,TRUE,merit_allow_substitute,NA
2017,Colombia,NA,total_finalized,95
2017,Colombia,NA,pending,60
2017,Congo (Brazzaville),NA,filed,NA
2017,Congo (Brazzaville),FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Congo (Brazzaville),FALSE,nonmerit_dismiss_imperfect,NA
2017,Congo (Brazzaville),FALSE,nonmerit_dismiss_other,NA
2017,Congo (Brazzaville),TRUE,merit_dismiss_confirm,NA
2017,Congo (Brazzaville),TRUE,merit_allow_referback,NA
2017,Congo (Brazzaville),TRUE,merit_allow_substitute,NA
2017,Congo (Brazzaville),NA,total_finalized,NA
2017,Congo (Brazzaville),NA,pending,NA
2017,Congo (Kinshasa),NA,filed,91
2017,Congo (Kinshasa),FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Congo (Kinshasa),FALSE,nonmerit_dismiss_imperfect,NA
2017,Congo (Kinshasa),FALSE,nonmerit_dismiss_other,NA
2017,Congo (Kinshasa),TRUE,merit_dismiss_confirm,NA
2017,Congo (Kinshasa),TRUE,merit_allow_referback,NA
2017,Congo (Kinshasa),TRUE,merit_allow_substitute,NA
2017,Congo (Kinshasa),NA,total_finalized,50
2017,Congo (Kinshasa),NA,pending,91
2017,Costa Rica,NA,filed,NA
2017,Costa Rica,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Costa Rica,FALSE,nonmerit_dismiss_imperfect,NA
2017,Costa Rica,FALSE,nonmerit_dismiss_other,NA
2017,Costa Rica,TRUE,merit_dismiss_confirm,NA
2017,Costa Rica,TRUE,merit_allow_referback,NA
2017,Costa Rica,TRUE,merit_allow_substitute,NA
2017,Costa Rica,NA,total_finalized,NA
2017,Costa Rica,NA,pending,NA
2017,Croatia,NA,filed,NA
2017,Croatia,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Croatia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Croatia,FALSE,nonmerit_dismiss_other,NA
2017,Croatia,TRUE,merit_dismiss_confirm,NA
2017,Croatia,TRUE,merit_allow_referback,NA
2017,Croatia,TRUE,merit_allow_substitute,NA
2017,Croatia,NA,total_finalized,NA
2017,Croatia,NA,pending,NA
2017,Cuba,NA,filed,NA
2017,Cuba,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Cuba,FALSE,nonmerit_dismiss_imperfect,NA
2017,Cuba,FALSE,nonmerit_dismiss_other,NA
2017,Cuba,TRUE,merit_dismiss_confirm,NA
2017,Cuba,TRUE,merit_allow_referback,NA
2017,Cuba,TRUE,merit_allow_substitute,NA
2017,Cuba,NA,total_finalized,NA
2017,Cuba,NA,pending,NA
2017,Cyprus,NA,filed,NA
2017,Cyprus,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Cyprus,FALSE,nonmerit_dismiss_imperfect,NA
2017,Cyprus,FALSE,nonmerit_dismiss_other,NA
2017,Cyprus,TRUE,merit_dismiss_confirm,NA
2017,Cyprus,TRUE,merit_allow_referback,NA
2017,Cyprus,TRUE,merit_allow_substitute,NA
2017,Cyprus,NA,total_finalized,NA
2017,Cyprus,NA,pending,NA
2017,Czech Republic,NA,filed,NA
2017,Czech Republic,FALSE,nonmerit_dismiss_jurisdiction,NA
